Place,Month,HighTemp,LowTemp,MeanTemp,Precipitation,Humidity,DewPoint,Wind,Pressure,Visibility,SuitableForTravelling
Bangalore,Jan,29,16,23,1.0,58,13,4,1013,6,Yes
Bangalore,Feb,31,18,24,7.5,49,12,4,1011,7,Yes
Bangalore,March,33,20,27,22.6,46,13,4,1009,7,No
Bangalore,April,34,22,28,85.6,53,17,3,1007,7,No
Bangalore,May,33,22,27,124.8,65,19,5,1006,7,No
Bangalore,June,30,21,25,94.8,73,19,8,1006,7,Yes
Bangalore,July,29,20,24,138.3,77,19,9,1006,6,No
Bangalore,August,28,20,24,170.0,78,19,7,1007,6,No
Bangalore,September,29,20,24,176.6,76,19,6,1008,7,No
Bangalore,October,29,20,24,116.9,74,18,4,1010,6,Yes
Bangalore,November,28,18,23,79.2,73,17,3,1011,6,Yes
Bangalore,December,28,17,22,11.2,68,15,4,1012,6,Yes
Mangalore,Jan,33,21,27,0.6,65,19,8,1011,4,Yes
Mangalore,Feb,34,22,28,5.0,66,20,8,1011,4,Yes
Mangalore,March,34,24,29,21.7,71,22,8,1010,4,Yes
Mangalore,April,34,25,29,38.0,72,24,8,1009,4,No
Mangalore,May,33,25,29,87.7,76,24,9,1008,4,No
Mangalore,June,30,24,27,414.9,87,24,9,1007,4,No
Mangalore,July,29,23,26,485.2,89,24,10,1008,4,No
Mangalore,August,29,23,26,364.4,89,24,9,1008,4,No
Mangalore,September,30,23,27,275.5,86,24,8,1009,4,No
Mangalore,October,32,23,27,150.8,83,24,7,1009,4,Yes
Mangalore,November,33,23,28,109.6,75,22,7,1009,4,Yes
Mangalore,December,33,22,28,12.1,67,20,8,1010,4,Yes
Mysore,Jan,34,22,28,85.6,53,17,3,1007,7,Yes
Mysore,Feb,31,18,24,7.5,49,12,4,1011,7,Yes
Mysore,March,33,20,27,22.6,46,13,4,1009,7,Yes
Mysore,April,34,22,28,85.6,53,17,3,1007,7,No
Mysore,May,33,22,27,124.8,65,19,5,1006,7,No
Mysore,June,30,21,25,94.8,73,19,8,1006,7,Yes
Mysore,July,29,20,24,138.3,77,19,9,1006,6,No
Mysore,August,28,20,24,170.0,78,19,7,1007,6,No
Mysore,September,29,20,24,176.6,76,19,6,1008,7,No
Mysore,October,29,20,24,116.9,74,18,4,1010,6,Yes
Mysore,November,28,18,23,79.2,73,17,3,1011,6,Yes
Mysore,December,28,17,22,11.2,68,15,4,1012,6,Yes
Bijapur,Jan,32,16,24,4.4,48,12,2,1013,7,Yes
Bijapur,Feb,35,19,27,0.7,44,13,2,1011,7,Yes
Bijapur,March,38,22,30,7.1,39,14,3,1009,7,No
Bijapur,April,40,25,33,11.5,37,16,3,1006,7,No
Bijapur,May,40,26,33,19.9,42,18,4,1004,7,No
Bijapur,June,35,24,30,62.2,63,21,4,1003,7,No
Bijapur,July,32,23,28,113.7,70,21,4,1003,7,No
Bijapur,August,32,23,27,101.0,71,21,3,1005,7,No
Bijapur,September,32,23,27,103.8,72,21,3,1006,7,No
Bijapur,October,33,21,27,59.5,60,18,2,1009,7,Yes
Bijapur,November,32,19,26,13.3,56,16,2,1011,7,Yes
Bijapur,December,32,16,24,2.3,50,13,2,1013,7,Yes

